Item Code,Item Description,Spec Book,Unit,Statewide 12-Mo Moving Avg ($),Statewide 3-Mo Moving Avg ($),Engineer Estimate Avg ($),Min Bid Price ($),Max Bid Price ($),Total Awarded Qty (12-Mo),Total Awarded Value ($),Category
"0420-6015","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 15)","2024/2014","CY",1188,1259.28,1116.72,780,2597,11680,13875840,"400 Structures"
"0420-6016","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 16)","2024/2014","CY",1242,1167.48,1167.48,795,2670.5,13250,16456500,"400 Structures"
"0420-6017","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 17)","2024/2014","CY",1296,1257.12,1218.24,750,2744,14820,19206720,"400 Structures"
"0420-6018","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 18)","2024/2014","CY",1350,1350,1269,765,2817.5,16390,22126500,"400 Structures"
"0420-6019","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 19)","2024/2014","CY",1404,1446.12,1319.76,780,2450,7160,10052640,"400 Structures"
"0420-6020","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 20)","2024/2014","CY",1458,1545.48,1370.52,795,2523.5,8730,12728340,"400 Structures"
"0420-6021","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 21)","2024/2014","CY",1512,1421.28,1421.28,750,2597,10300,15573600,"400 Structures"
"0420-6022","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 22)","2024/2014","CY",1188,1152.36,1116.72,765,2670.5,11870,14101560,"400 Structures"
"0420-6023","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 23)","2024/2014","CY",1242,1242,1167.48,780,2744,13440,16692480,"400 Structures"
"0420-6024","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 24)","2024/2014","CY",1296,1334.88,1218.24,795,2817.5,15010,19452960,"400 Structures"
"0420-6025","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 25)","2024/2014","CY",1350,1431,1269,750,2450,16580,22383000,"400 Structures"
"0420-6026","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 26)","2024/2014","CY",1404,1319.76,1319.76,765,2523.5,18150,25482600,"400 Structures"
"0420-6027","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 27)","2024/2014","CY",1458,1414.26,1370.52,780,2597,19720,28751760,"400 Structures"
"0420-6028","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 28)","2024/2014","CY",1512,1512,1421.28,795,2670.5,10490,15860880,"400 Structures"
"0420-6029","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 29)","2024/2014","CY",1188,1223.64,1116.72,750,2744,12060,14327280,"400 Structures"
"0420-6030","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 30)","2024/2014","CY",1242,1316.52,1167.48,765,2817.5,13630,16928460,"400 Structures"
"0420-6031","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 31)","2024/2014","CY",1296,1218.24,1218.24,780,2450,15200,19699200,"400 Structures"
"0420-6032","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 32)","2024/2014","CY",1350,1309.5,1269,795,2523.5,16770,22639500,"400 Structures"
"0420-6033","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 33)","2024/2014","CY",1404,1404,1319.76,750,2597,18340,25749360,"400 Structures"
"0420-6034","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 34)","2024/2014","CY",1458,1501.74,1370.52,765,2670.5,19910,29028780,"400 Structures"
"0420-6035","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 35)","2024/2014","CY",1512,1602.72,1421.28,780,2744,21480,32477760,"400 Structures"
"0420-6036","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 36)","2024/2014","CY",1188,1116.72,1116.72,795,2817.5,23050,27383400,"400 Structures"
"0420-6037","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 37)","2024/2014","CY",1242,1204.74,1167.48,750,2450,13820,17164440,"400 Structures"
"0420-6038","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 38)","2024/2014","CY",1296,1296,1218.24,765,2523.5,15390,19945440,"400 Structures"
"0420-6039","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 39)","2024/2014","CY",1350,1390.5,1269,780,2597,16960,22896000,"400 Structures"
"0420-6040","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 40)","2024/2014","CY",1404,1488.24,1319.76,795,2670.5,18530,26016120,"400 Structures"
"0420-6041","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 41)","2024/2014","CY",1458,1370.52,1370.52,750,2744,20100,29305800,"400 Structures"
"0420-6042","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 42)","2024/2014","CY",1512,1466.64,1421.28,765,2817.5,21670,32765040,"400 Structures"
"0420-6043","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 43)","2024/2014","CY",1188,1188,1116.72,780,2450,23240,27609120,"400 Structures"
"0420-6044","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 44)","2024/2014","CY",1242,1279.26,1167.48,795,2523.5,24810,30814020,"400 Structures"
"0420-6045","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 45)","2024/2014","CY",1296,1373.76,1218.24,750,2597,26380,34188480,"400 Structures"
"0420-6046","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 46)","2024/2014","CY",1350,1269,1269,765,2670.5,17150,23152500,"400 Structures"
"0420-6047","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 47)","2024/2014","CY",1404,1361.88,1319.76,780,2744,18720,26282880,"400 Structures"
"0420-6048","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 48)","2024/2014","CY",1458,1458,1370.52,795,2817.5,20290,29582820,"400 Structures"
"0420-6049","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 49)","2024/2014","CY",1512,1557.36,1421.28,750,2450,21860,33052320,"400 Structures"
"0420-6050","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 50)","2024/2014","CY",1188,1259.28,1116.72,765,2523.5,23430,27834840,"400 Structures"
"0420-6051","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 51)","2024/2014","CY",1242,1167.48,1167.48,780,2597,25000,31050000,"400 Structures"
"0420-6052","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 52)","2024/2014","CY",1296,1257.12,1218.24,795,2670.5,26570,34434720,"400 Structures"
"0420-6053","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 53)","2024/2014","CY",1350,1350,1269,750,2744,28140,37989000,"400 Structures"
"0420-6054","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 54)","2024/2014","CY",1404,1446.12,1319.76,765,2817.5,29710,41712840,"400 Structures"
"0420-6055","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 55)","2024/2014","CY",1458,1545.48,1370.52,780,2450,20480,29859840,"400 Structures"
"0420-6056","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 56)","2024/2014","CY",1512,1421.28,1421.28,795,2523.5,22050,33339600,"400 Structures"
"0420-6057","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 57)","2024/2014","CY",1188,1152.36,1116.72,750,2597,23620,28060560,"400 Structures"
"0420-6058","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 58)","2024/2014","CY",1242,1242,1167.48,765,2670.5,25190,31285980,"400 Structures"
"0420-6059","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 59)","2024/2014","CY",1296,1334.88,1218.24,780,2744,26760,34680960,"400 Structures"
"0420-6060","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 60)","2024/2014","CY",1350,1431,1269,795,2817.5,28330,38245500,"400 Structures"
"0420-6061","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 61)","2024/2014","CY",1404,1319.76,1319.76,750,2450,29900,41979600,"400 Structures"
"0420-6062","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 62)","2024/2014","CY",1458,1414.26,1370.52,765,2523.5,31470,45883260,"400 Structures"
"0420-6063","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 63)","2024/2014","CY",1512,1512,1421.28,780,2597,33040,49956480,"400 Structures"
"0420-6064","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 64)","2024/2014","CY",1188,1223.64,1116.72,795,2670.5,23810,28286280,"400 Structures"
"0420-6065","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 65)","2024/2014","CY",1242,1316.52,1167.48,750,2744,25380,31521960,"400 Structures"
"0420-6066","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 66)","2024/2014","CY",1296,1218.24,1218.24,765,2817.5,26950,34927200,"400 Structures"
"0420-6067","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 67)","2024/2014","CY",1350,1309.5,1269,780,2450,28520,38502000,"400 Structures"
"0420-6068","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 68)","2024/2014","CY",1404,1404,1319.76,795,2523.5,30090,42246360,"400 Structures"
"0420-6069","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 69)","2024/2014","CY",1458,1501.74,1370.52,750,2597,31660,46160280,"400 Structures"
"0420-6070","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 70)","2024/2014","CY",1512,1602.72,1421.28,765,2670.5,33230,50243760,"400 Structures"
"0420-6071","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 71)","2024/2014","CY",1188,1116.72,1116.72,780,2744,34800,41342400,"400 Structures"
"0420-6072","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 72)","2024/2014","CY",1242,1204.74,1167.48,795,2817.5,36370,45171540,"400 Structures"
"0420-6073","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 73)","2024/2014","CY",1296,1296,1218.24,750,2450,27140,35173440,"400 Structures"
"0420-6074","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 74)","2024/2014","CY",1350,1390.5,1269,765,2523.5,28710,38758500,"400 Structures"
"0420-6075","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 75)","2024/2014","CY",1404,1488.24,1319.76,780,2597,30280,42513120,"400 Structures"
"0420-6076","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 76)","2024/2014","CY",1458,1370.52,1370.52,795,2670.5,31850,46437300,"400 Structures"
"0420-6077","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 77)","2024/2014","CY",1512,1466.64,1421.28,750,2744,33420,50531040,"400 Structures"
"0420-6078","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 78)","2024/2014","CY",1188,1188,1116.72,765,2817.5,34990,41568120,"400 Structures"
"0420-6079","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 79)","2024/2014","CY",1242,1279.26,1167.48,780,2450,36560,45407520,"400 Structures"
"0420-6080","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 80)","2024/2014","CY",1296,1373.76,1218.24,795,2523.5,38130,49416480,"400 Structures"
"0420-6081","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 81)","2024/2014","CY",1350,1269,1269,750,2597,39700,53595000,"400 Structures"
"0420-6082","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 82)","2024/2014","CY",1404,1361.88,1319.76,765,2670.5,30470,42779880,"400 Structures"
"0420-6083","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 83)","2024/2014","CY",1458,1458,1370.52,780,2744,32040,46714320,"400 Structures"
"0420-6084","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 84)","2024/2014","CY",1512,1557.36,1421.28,795,2817.5,33610,50818320,"400 Structures"
"0420-6085","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 85)","2024/2014","CY",1188,1259.28,1116.72,750,2450,35180,41793840,"400 Structures"
"0420-6086","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 86)","2024/2014","CY",1242,1167.48,1167.48,765,2523.5,36750,45643500,"400 Structures"
"0420-6087","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 87)","2024/2014","CY",1296,1257.12,1218.24,780,2597,38320,49662720,"400 Structures"
"0420-6088","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 88)","2024/2014","CY",1350,1350,1269,795,2670.5,39890,53851500,"400 Structures"
"0420-6089","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 89)","2024/2014","CY",1404,1446.12,1319.76,750,2744,41460,58209840,"400 Structures"
"0420-6090","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 90)","2024/2014","CY",1458,1545.48,1370.52,765,2817.5,43030,62737740,"400 Structures"
"0420-6091","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 91)","2024/2014","CY",1512,1421.28,1421.28,780,2450,33800,51105600,"400 Structures"
"0420-6092","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 92)","2024/2014","CY",1188,1152.36,1116.72,795,2523.5,35370,42019560,"400 Structures"
"0420-6093","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 93)","2024/2014","CY",1242,1242,1167.48,750,2597,36940,45879480,"400 Structures"
"0420-6094","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 94)","2024/2014","CY",1296,1334.88,1218.24,765,2670.5,38510,49908960,"400 Structures"
"0420-6095","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 95)","2024/2014","CY",1350,1431,1269,780,2744,40080,54108000,"400 Structures"
"0420-6096","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 96)","2024/2014","CY",1404,1319.76,1319.76,795,2817.5,41650,58476600,"400 Structures"
"0420-6097","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 97)","2024/2014","CY",1458,1414.26,1370.52,750,2450,43220,63014760,"400 Structures"
"0420-6098","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 98)","2024/2014","CY",1512,1512,1421.28,765,2523.5,44790,67722480,"400 Structures"
"0420-6099","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 99)","2024/2014","CY",1188,1223.64,1116.72,780,2597,46360,55075680,"400 Structures"
"0420-6100","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 100)","2024/2014","CY",1242,1316.52,1167.48,795,2670.5,37130,46115460,"400 Structures"
"0420-6101","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 101)","2024/2014","CY",1296,1218.24,1218.24,750,2744,38700,50155200,"400 Structures"
"0420-6102","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 102)","2024/2014","CY",1350,1309.5,1269,765,2817.5,40270,54364500,"400 Structures"
"0420-6103","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 103)","2024/2014","CY",1404,1404,1319.76,780,2450,41840,58743360,"400 Structures"
"0420-6104","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 104)","2024/2014","CY",1458,1501.74,1370.52,795,2523.5,43410,63291780,"400 Structures"
"0420-6105","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 105)","2024/2014","CY",1512,1602.72,1421.28,750,2597,44980,68009760,"400 Structures"
"0420-6106","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 106)","2024/2014","CY",1188,1116.72,1116.72,765,2670.5,46550,55301400,"400 Structures"
"0420-6107","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 107)","2024/2014","CY",1242,1204.74,1167.48,780,2744,48120,59765040,"400 Structures"
"0420-6108","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 108)","2024/2014","CY",1296,1296,1218.24,795,2817.5,49690,64398240,"400 Structures"
"0420-6109","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 109)","2024/2014","CY",1350,1390.5,1269,750,2450,40460,54621000,"400 Structures"
"0420-6110","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 110)","2024/2014","CY",1404,1488.24,1319.76,765,2523.5,42030,59010120,"400 Structures"
"0420-6111","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 111)","2024/2014","CY",1458,1370.52,1370.52,780,2597,43600,63568800,"400 Structures"
"0420-6112","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 112)","2024/2014","CY",1512,1466.64,1421.28,795,2670.5,45170,68297040,"400 Structures"
"0420-6113","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 113)","2024/2014","CY",1188,1188,1116.72,750,2744,46740,55527120,"400 Structures"
"0420-6114","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 114)","2024/2014","CY",1242,1279.26,1167.48,765,2817.5,48310,60001020,"400 Structures"
"0420-6115","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 115)","2024/2014","CY",1296,1373.76,1218.24,780,2450,49880,64644480,"400 Structures"
"0420-6116","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 116)","2024/2014","CY",1350,1269,1269,795,2523.5,51450,69457500,"400 Structures"
"0420-6117","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 117)","2024/2014","CY",1404,1361.88,1319.76,750,2597,53020,74440080,"400 Structures"
"0420-6118","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 118)","2024/2014","CY",1458,1458,1370.52,765,2670.5,43790,63845820,"400 Structures"
"0420-6119","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 119)","2024/2014","CY",1512,1557.36,1421.28,780,2744,45360,68584320,"400 Structures"
"0420-6120","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 120)","2024/2014","CY",1188,1259.28,1116.72,795,2817.5,46930,55752840,"400 Structures"
"0420-6121","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 121)","2024/2014","CY",1242,1167.48,1167.48,750,2450,48500,60237000,"400 Structures"
"0420-6122","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 122)","2024/2014","CY",1296,1257.12,1218.24,765,2523.5,50070,64890720,"400 Structures"
"0420-6123","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 123)","2024/2014","CY",1350,1350,1269,780,2597,51640,69714000,"400 Structures"
"0420-6124","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 124)","2024/2014","CY",1404,1446.12,1319.76,795,2670.5,53210,74706840,"400 Structures"
"0420-6125","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 125)","2024/2014","CY",1458,1545.48,1370.52,750,2744,54780,79869240,"400 Structures"
"0420-6126","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 126)","2024/2014","CY",1512,1421.28,1421.28,765,2817.5,56350,85201200,"400 Structures"
"0420-6127","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 127)","2024/2014","CY",1188,1152.36,1116.72,780,2450,47120,55978560,"400 Structures"
"0420-6128","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 128)","2024/2014","CY",1242,1242,1167.48,795,2523.5,48690,60472980,"400 Structures"
"0420-6129","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 129)","2024/2014","CY",1296,1334.88,1218.24,750,2597,50260,65136960,"400 Structures"
"0420-6130","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 130)","2024/2014","CY",1350,1431,1269,765,2670.5,51830,69970500,"400 Structures"
"0420-6131","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 131)","2024/2014","CY",1404,1319.76,1319.76,780,2744,53400,74973600,"400 Structures"
"0420-6132","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 132)","2024/2014","CY",1458,1414.26,1370.52,795,2817.5,54970,80146260,"400 Structures"
"0420-6133","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 133)","2024/2014","CY",1512,1512,1421.28,750,2450,56540,85488480,"400 Structures"
"0420-6134","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 134)","2024/2014","CY",1188,1223.64,1116.72,765,2523.5,58110,69034680,"400 Structures"
"0420-6135","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 135)","2024/2014","CY",1242,1316.52,1167.48,780,2597,59680,74122560,"400 Structures"
"0420-6136","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 136)","2024/2014","CY",1296,1218.24,1218.24,795,2670.5,50450,65383200,"400 Structures"
"0420-6137","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 137)","2024/2014","CY",1350,1309.5,1269,750,2744,52020,70227000,"400 Structures"
"0420-6138","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 138)","2024/2014","CY",1404,1404,1319.76,765,2817.5,53590,75240360,"400 Structures"
"0420-6139","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 139)","2024/2014","CY",1458,1501.74,1370.52,780,2450,55160,80423280,"400 Structures"
"0420-6140","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 140)","2024/2014","CY",1512,1602.72,1421.28,795,2523.5,56730,85775760,"400 Structures"
"0420-6141","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 141)","2024/2014","CY",1188,1116.72,1116.72,750,2597,58300,69260400,"400 Structures"
"0420-6142","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 142)","2024/2014","CY",1242,1204.74,1167.48,765,2670.5,59870,74358540,"400 Structures"
"0420-6143","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 143)","2024/2014","CY",1296,1296,1218.24,780,2744,61440,79626240,"400 Structures"
"0420-6144","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 144)","2024/2014","CY",1350,1390.5,1269,795,2817.5,63010,85063500,"400 Structures"
"0420-6145","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 145)","2024/2014","CY",1404,1488.24,1319.76,750,2450,53780,75507120,"400 Structures"
"0420-6146","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 146)","2024/2014","CY",1458,1370.52,1370.52,765,2523.5,55350,80700300,"400 Structures"
"0420-6147","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 147)","2024/2014","CY",1512,1466.64,1421.28,780,2597,56920,86063040,"400 Structures"
"0420-6148","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 148)","2024/2014","CY",1188,1188,1116.72,795,2670.5,58490,69486120,"400 Structures"
"0420-6149","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 149)","2024/2014","CY",1242,1279.26,1167.48,750,2744,60060,74594520,"400 Structures"
"0420-6150","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 150)","2024/2014","CY",1296,1373.76,1218.24,765,2817.5,61630,79872480,"400 Structures"
"0420-6151","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 151)","2024/2014","CY",1350,1269,1269,780,2450,63200,85320000,"400 Structures"
"0420-6152","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 152)","2024/2014","CY",1404,1361.88,1319.76,795,2523.5,64770,90937080,"400 Structures"
"0420-6153","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 153)","2024/2014","CY",1458,1458,1370.52,750,2597,66340,96723720,"400 Structures"
"0420-6154","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 154)","2024/2014","CY",1512,1557.36,1421.28,765,2670.5,57110,86350320,"400 Structures"
"0420-6155","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 155)","2024/2014","CY",1188,1259.28,1116.72,780,2744,58680,69711840,"400 Structures"
"0420-6156","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 156)","2024/2014","CY",1242,1167.48,1167.48,795,2817.5,60250,74830500,"400 Structures"
"0420-6157","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 157)","2024/2014","CY",1296,1257.12,1218.24,750,2450,61820,80118720,"400 Structures"
"0420-6158","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 158)","2024/2014","CY",1350,1350,1269,765,2523.5,63390,85576500,"400 Structures"
"0420-6159","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 159)","2024/2014","CY",1404,1446.12,1319.76,780,2597,64960,91203840,"400 Structures"
"0420-6160","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 160)","2024/2014","CY",1458,1545.48,1370.52,795,2670.5,66530,97000740,"400 Structures"
"0420-6161","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 161)","2024/2014","CY",1512,1421.28,1421.28,750,2744,68100,102967200,"400 Structures"
"0420-6162","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 162)","2024/2014","CY",1188,1152.36,1116.72,765,2817.5,69670,82767960,"400 Structures"
"0420-6163","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 163)","2024/2014","CY",1242,1242,1167.48,780,2450,60440,75066480,"400 Structures"
"0420-6164","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 164)","2024/2014","CY",1296,1334.88,1218.24,795,2523.5,62010,80364960,"400 Structures"
"0420-6165","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 165)","2024/2014","CY",1350,1431,1269,750,2597,63580,85833000,"400 Structures"
"0420-6166","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 166)","2024/2014","CY",1404,1319.76,1319.76,765,2670.5,65150,91470600,"400 Structures"
"0420-6167","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 167)","2024/2014","CY",1458,1414.26,1370.52,780,2744,66720,97277760,"400 Structures"
"0420-6168","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 168)","2024/2014","CY",1512,1512,1421.28,795,2817.5,68290,103254480,"400 Structures"
"0420-6169","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 169)","2024/2014","CY",1188,1223.64,1116.72,750,2450,69860,82993680,"400 Structures"
"0420-6170","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 170)","2024/2014","CY",1242,1316.52,1167.48,765,2523.5,71430,88716060,"400 Structures"
"0420-6171","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 171)","2024/2014","CY",1296,1218.24,1218.24,780,2597,73000,94608000,"400 Structures"
"0420-6172","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 172)","2024/2014","CY",1350,1309.5,1269,795,2670.5,63770,86089500,"400 Structures"
"0420-6173","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 173)","2024/2014","CY",1404,1404,1319.76,750,2744,65340,91737360,"400 Structures"
"0420-6174","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 174)","2024/2014","CY",1458,1501.74,1370.52,765,2817.5,66910,97554780,"400 Structures"
"0420-6175","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 175)","2024/2014","CY",1512,1602.72,1421.28,780,2450,68480,103541760,"400 Structures"
"0420-6176","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 176)","2024/2014","CY",1188,1116.72,1116.72,795,2523.5,70050,83219400,"400 Structures"
"0420-6177","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 177)","2024/2014","CY",1242,1204.74,1167.48,750,2597,71620,88952040,"400 Structures"
"0420-6178","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 178)","2024/2014","CY",1296,1296,1218.24,765,2670.5,73190,94854240,"400 Structures"
"0420-6179","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 179)","2024/2014","CY",1350,1390.5,1269,780,2744,74760,100926000,"400 Structures"
"0420-6180","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 180)","2024/2014","CY",1404,1488.24,1319.76,795,2817.5,76330,107167320,"400 Structures"
"0420-6181","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 181)","2024/2014","CY",1458,1370.52,1370.52,750,2450,67100,97831800,"400 Structures"
"0420-6182","CONCRETE STRUCTURES (ABUT/CAP/COL) (TY 182)","2024/2014","CY",1512,1466.64,1421.28,765,2523.5,68670,103829040,"400 Structures"
